cycle,encoder_error_cw,encoder_error_ccw
3511,16775042.0,16775037.0
3512,16775044.0,16775037.0
3513,16775051.0,16775040.0
3514,16775050.0,16775039.0
3515,16775034.0,16775034.0
3516,16775034.0,16775032.0
3517,16775032.0,16775032.0
3518,16775034.0,16775034.0
3519,16775031.0,16775031.0
3520,16775027.0,16775026.0
3521,16775021.0,16775025.0
3522,16775024.0,16775026.0
3523,16775027.0,16775028.0
3524,16775034.0,16775037.0
3525,16775044.0,16775037.0
3526,16775041.0,16775036.0
3527,16775033.0,16775034.0
3528,16775034.0,16775037.0
3529,16775035.0,16775036.0
3530,16775033.0,16775036.0
3531,16775033.0,16775032.0
3532,16775032.0,16775033.0
3533,16775035.0,16775035.0
3534,16775034.0,16775036.0
3535,16775034.0,16775034.0
3536,16775031.0,16775034.0
3537,16775033.0,16775032.0
3538,16775031.0,16775032.0
3539,16775028.0,16775027.0
3540,16775021.0,16775021.0
3541,16775021.0,16775018.0
3542,16775017.0,16775018.0
3543,16775014.0,16775019.0
3544,16775014.0,16775021.0
3545,16775015.0,16775019.0
3546,16775016.0,16775019.0
3547,16775015.0,16775021.0
3548,16775024.0,16775026.0
3549,16775022.0,16775019.0
3550,16775022.0,16775029.0
3551,16775028.0,16775033.0
3552,16775032.0,16775031.0
3553,16775027.0,16775031.0
3554,16775032.0,16775032.0
3555,16775031.0,16775033.0
3556,16775029.0,16775032.0
3557,16775027.0,16775027.0
3558,16775021.0,16775025.0
3559,16775026.0,16775028.0
3560,16775024.0,16775026.0
3561,16775023.0,16775026.0
3562,16775025.0,16775027.0
3563,16775022.0,16775025.0
3564,16775021.0,16775021.0
3565,16775015.0,16775022.0
3566,16775021.0,16775026.0
3567,16775032.0,16775031.0
3568,16775028.0,16775028.0
3569,16775028.0,16775026.0
3570,16775024.0,16775028.0
3571,16775020.0,16775019.0
3572,16775018.0,16775022.0
3573,16775024.0,16775019.0
3574,16775018.0,16775020.0
3575,16775023.0,16775021.0
3576,16775021.0,16775027.0
3577,16775025.0,16775026.0
3578,16775020.0,16775018.0
3579,16775019.0,16775020.0
3580,16775024.0,16775027.0
3581,16775028.0,16775029.0
3582,16775025.0,16775026.0
3583,16775021.0,16775020.0
3584,16775020.0,16775021.0
3585,16775020.0,16775019.0
3586,16775016.0,16775019.0
3587,16775023.0,16775019.0
3588,16775019.0,16775019.0
3589,16775020.0,16775021.0
3590,16775031.0,16775034.0
3591,16775029.0,16775032.0
3592,16775034.0,16775032.0
3593,16775023.0,16775025.0
3594,16775023.0,16775025.0
3595,16775022.0,16775019.0
3596,16775018.0,16775022.0
3597,16775020.0,16775019.0
3598,16775015.0,16775021.0
3599,16775025.0,16775028.0
3600,16775032.0,16775033.0
3601,16775029.0,16775033.0
3602,16775033.0,16775032.0
3603,16775028.0,16775026.0
3604,16775027.0,16775025.0
3605,16775023.0,16775025.0
3606,16775020.0,16775018.0
3607,16775020.0,16775021.0
3608,16775029.0,16775035.0
3609,16775029.0,16775032.0
3610,16775032.0,16775032.0
3611,16775027.0,16775028.0
3612,16775033.0,16775034.0
3613,16775035.0,16775033.0
3614,16775032.0,16775034.0
3615,16775032.0,16775031.0
3616,16775033.0,16775033.0
3617,16775036.0,16775036.0
3618,16775042.0,16775038.0
3619,16775040.0,16775038.0
3620,16775036.0,16775036.0
3621,16775032.0,16775034.0
3622,16775027.0,16775025.0
3623,16775030.0,16775032.0
3624,16775028.0,16775028.0
3625,16775031.0,16775034.0
3626,16775028.0,16775031.0
3627,16775031.0,16775034.0
3628,16775032.0,16775034.0
3629,16775038.0,16775036.0
3630,16775028.0,16775025.0
3631,16775024.0,16775028.0
3632,16775027.0,16775028.0
3633,16775020.0,16775021.0
3634,16775021.0,16775021.0
3635,16775019.0,16775018.0
3636,16775014.0,16775019.0
3637,16775016.0,16775022.0
3638,16775028.0,16775028.0
3639,16775027.0,16775028.0
3640,16775020.0,16775018.0
3641,16775011.0,16775013.0
